Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.30000000000000004,9.042637602366538,0.8466796875,157,860,94,412,21,125,0,0,0,0,0,0
0.4,7.635503857542185,0.7763671875,229,1398,109,494,36,244,1,13,0,0,0,0
0.5,11.785356142420243,0.5302734375,481,3344,127,600,50,344,17,145,0,0,0,0
0.6000000000000001,10.481030408132833,0.2578125,760,5408,178,894,70,485,27,230,1,6,0,0
0.7,11.196261696856286,0.087890625,934,6974,64,302,30,187,17,115,8,67,1,11
0.8,14.599844304999142,0.017578125,1006,7622,31,154,21,121,16,94,7,41,2,11
0.2,12.750005534480696,0.986328125,14,54,8,22,2,5,0,0,0,0,0,0
0.30000000000000004,8.202666091198605,0.8935546875,109,570,58,218,17,95,0,0,0,0,0,0
0.4,5.06946884290271,0.7080078125,299,1530,197,804,34,210,0,0,0,0,0,0
0.5,13.883513855418505,0.5771484375,433,2944,115,518,46,295,15,120,0,0,0,0
0.6000000000000001,13.667044005921106,0.1796875,840,6170,108,542,52,326,20,141,7,56,0,0
0.7,6.181462091893167,0.1416015625,879,6270,192,954,89,573,27,246,2,30,0,0
0.8,10.982938056596574,0.056640625,966,7238,60,292,30,182,20,124,8,56,1,5
0.2,6.173692882369678,0.97265625,28,106,22,76,2,4,0,0,0,0,0,0
0.30000000000000004,11.24010136348688,0.7265625,280,1828,115,546,35,255,5,55,0,0,0,0
0.4,11.186699863667407,0.7744140625,231,1458,96,428,29,193,4,33,0,0,0,0
0.5,7.839958543320088,0.53125,480,3080,195,898,63,432,8,75,0,0,0,0
0.6000000000000001,5.792394229342089,0.279296875,738,4956,234,1130,96,632,18,159,0,0,0,0
0.7,9.36112807117139,0.080078125,942,7050,87,450,45,291,24,165,5,37,1,7
0.8,5.351154788596918,0.029296875,994,7416,127,712,77,505,33,245,5,45,0,0
0.2,8.269889612168994,0.9501953125,51,242,36,130,5,33,0,0,0,0,0,0
0.30000000000000004,12.593292464811139,0.95703125,44,196,35,128,3,20,0,0,0,0,0,0
0.4,7.1025515795067165,0.767578125,238,1330,130,544,32,201,1,5,0,0,0,0
0.5,11.236880698010584,0.4443359375,569,3914,137,644,60,386,17,124,1,11,0,0
0.6000000000000001,12.035136876190151,0.2626953125,755,5402,134,664,67,418,23,176,3,21,0,0
0.7,5.786469093426674,0.125,896,6420,197,1044,101,681,25,186,2,22,0,0
0.8,13.58792502048919,0.01171875,1012,7698,28,144,24,132,16,93,7,43,2,9
0.2,6.735720759589567,0.9736328125,27,80,24,62,1,3,0,0,0,0,0,0
0.30000000000000004,9.536799467824345,0.9033203125,99,544,48,174,9,56,2,16,0,0,0,0
0.4,7.275515642251204,0.7626953125,243,1426,120,524,33,214,2,16,0,0,0,0
0.5,6.70492670968407,0.505859375,506,3218,218,1004,64,449,8,72,0,0,0,0
0.6000000000000001,6.80010451383127,0.2041015625,815,5730,200,1004,93,622,24,202,1,7,0,0
0.7,6.013021417618143,0.1142578125,907,6596,175,938,96,634,29,225,2,20,0,0
0.8,6.089913253012722,0.0390625,984,7318,99,514,59,353,23,169,9,66,0,0
0.2,11.915013260246731,0.9560546875,45,254,27,118,6,39,0,0,0,0,0,0
0.30000000000000004,10.955702292726581,0.90234375,100,592,52,212,8,65,2,21,0,0,0,0
0.4,6.66200269599141,0.7353515625,271,1536,133,562,38,218,2,14,0,0,0,0
0.5,6.4014081676969035,0.46875,544,3472,229,1066,73,503,8,82,0,0,0,0
0.6000000000000001,6.406583995732885,0.2509765625,767,5222,245,1242,86,613,22,167,0,0,0,0
0.7,7.625950160689451,0.099609375,922,6768,130,670,64,416,22,193,7,58,0,0
0.8,12.500373821028582,0.0625,960,7210,42,204,22,134,11,66,7,43,2,13
0.2,6.9871839347762075,0.94921875,52,186,43,140,3,5,0,0,0,0,0,0
0.30000000000000004,11.609121359357546,0.9375,64,346,25,78,5,24,2,12,0,0,0,0
0.4,11.780593692207368,0.7197265625,287,1922,98,454,31,211,8,68,0,0,0,0
0.5,6.9531841738427556,0.4599609375,553,3518,238,1132,85,568,5,51,0,0,0,0
0.6000000000000001,13.582630895524666,0.2236328125,795,5864,93,452,50,299,18,134,7,57,0,0
0.7,7.3224718775722835,0.162109375,858,6102,171,872,85,548,24,181,3,33,0,0
0.8,11.213029493691922,0.025390625,998,7538,44,208,30,161,20,116,9,59,1,6
0.2,7.422715241919759,0.93359375,68,352,44,178,8,50,0,0,0,0,0,0
0.30000000000000004,7.786777802229155,0.8896484375,113,592,71,286,14,86,0,0,0,0,0,0
0.4,9.507761854439549,0.716796875,290,1742,134,588,44,278,2,13,0,0,0,0
0.5,5.064775054855069,0.48828125,524,3178,254,1160,82,549,2,19,0,0,0,0
0.6000000000000001,5.848968256347554,0.3427734375,673,4278,274,1278,101,648,8,79,0,0,0,0
0.7,9.916323018997796,0.080078125,942,7016,96,494,50,314,22,152,5,42,1,8
0.8,5.897435014695111,0.0390625,984,7328,126,700,74,484,29,232,6,51,0,0
0.2,9.896481030193222,0.9443359375,57,302,36,150,7,44,0,0,0,0,0,0
0.30000000000000004,8.889690660535518,0.9052734375,97,540,58,252,13,84,0,0,0,0,0,0
0.4,6.822580984512444,0.71484375,292,1632,163,702,39,241,1,8,0,0,0,0
0.5,6.740929287502397,0.4873046875,525,3350,219,1046,74,493,7,60,0,0,0,0
0.6000000000000001,13.44754745537511,0.3564453125,659,4642,116,548,57,346,23,152,2,14,0,0
0.7,8.577267472680878,0.146484375,874,6290,154,780,80,512,24,192,4,36,0,0
0.8,14.521265592995952,0.0576171875,965,7232,62,312,29,190,20,141,8,47,1,8
0.2,14.574892437892851,0.98828125,12,58,6,20,2,8,0,0,0,0,0,0
0.30000000000000004,12.59162220007568,0.8359375,168,1082,75,376,31,220,0,0,0,0,0,0
0.4,5.07705107238567,0.6884765625,319,1682,202,844,39,245,0,0,0,0,0,0
0.5,14.517385331656179,0.4287109375,585,4126,147,710,58,401,22,196,0,0,0,0
0.6000000000000001,7.909513928104714,0.306640625,710,4824,197,926,79,512,15,122,2,27,0,0
0.7,8.867548386189693,0.19140625,828,5972,141,690,65,421,25,194,4,36,0,0
0.8,7.406144356057112,0.06640625,956,7048,98,500,50,321,19,137,6,45,1,11
0.2,11.179694994645821,0.9453125,56,354,26,118,6,47,1,12,0,0,0,0
0.30000000000000004,14.206206780677588,0.9775390625,23,124,11,42,4,20,0,0,0,0,0,0
0.4,13.445248622878802,0.7216796875,285,1850,102,452,33,218,7,64,0,0,0,0
0.5,6.228321840163071,0.4755859375,537,3432,264,1300,79,591,3,29,0,0,0,0
0.6000000000000001,7.258887100514762,0.3271484375,689,4614,224,1056,75,506,12,126,2,33,0,0
0.7,13.80587440582682,0.119140625,902,6664,86,420,44,267,21,142,5,40,1,13
0.8,6.838029429877808,0.0419921875,981,7314,99,534,58,377,31,230,7,63,0,0
