Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.3252131561035748,7.4698616225419165,0.806640625,198,1098,117,504,27,178,0,0,0,0,0,0
0.5997811668468739,11.44227236191183,0.2998046875,717,5176,93,420,40,236,14,112,3,20,1,8
0.6971441695810507,10.10588222340738,0.1630859375,857,6232,143,704,66,420,27,203,4,42,0,0
0.6240253107661935,6.618060307933058,0.263671875,754,5212,244,1240,102,715,17,167,0,0,0,0
0.5621887451553662,5.881415281139018,0.3779296875,637,4046,286,1392,97,660,5,43,0,0,0,0
0.28377567883570814,8.426618122803605,0.8369140625,167,954,92,406,25,161,0,0,0,0,0,0
0.679237516815683,12.43910205314524,0.150390625,870,6426,111,562,53,345,22,166,7,59,0,0
0.2449072761508104,10.028654339715633,0.9501953125,51,264,30,118,7,41,0,0,0,0,0,0
0.3767047031307006,9.317013752798474,0.72265625,284,1806,110,482,38,244,5,49,0,0,0,0
0.5122527935111441,11.143135629220437,0.3046875,712,5068,154,788,66,458,18,141,3,25,0,0
0.732289000499547,13.992615176394484,0.107421875,914,6810,71,340,37,225,21,140,6,43,1,7
0.7806771905062746,14.766090169990429,0.0537109375,969,7304,51,254,30,174,17,108,5,32,2,9
0.38984763640384285,8.992754490992516,0.7314453125,275,1614,137,606,42,259,1,9,0,0,0,0
0.27595332533940553,7.891321205545646,0.904296875,98,528,59,236,13,89,0,0,0,0,0,0
0.3662344093791639,7.779374289601417,0.82421875,180,1038,93,406,29,182,0,0,0,0,0,0
0.7125922804465137,13.409467073231873,0.0771484375,945,7138,48,222,23,138,13,83,6,40,2,9
0.6906417039527788,7.482895443387737,0.078125,944,6936,131,706,67,456,31,216,5,45,0,0
0.36576696370226786,12.512081841067557,0.7509765625,255,1690,90,422,27,199,7,61,0,0,0,0
0.6612614856112864,11.616304045293194,0.173828125,846,6266,90,458,40,271,13,97,6,41,1,8
0.4329175532849281,11.814128455977928,0.5810546875,429,2974,123,614,54,368,12,99,0,0,0,0
0.2575325077688946,11.50958431723688,0.9892578125,11,44,8,24,1,5,0,0,0,0,0,0
0.7548424189182004,12.49035124625818,0.1044921875,917,6812,68,326,39,221,25,148,9,63,0,0
0.3849111980914447,11.31961537764545,0.748046875,258,1708,87,422,41,262,4,34,0,0,0,0
0.22885250601948248,10.023443789082322,0.95703125,44,230,26,106,6,33,0,0,0,0,0,0
0.6886453707957673,13.386816297787401,0.091796875,930,6992,51,230,25,151,15,92,5,31,2,10
0.4681014981563916,14.399542726840556,0.529296875,482,3402,125,616,55,374,16,140,0,0,0,0
