Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.5,9.005785934329626,0.5205078125,491,3184,161,712,62,385,12,97,0,0,0,0
0.5,14.303976215936126,0.5751953125,435,2900,144,666,53,358,11,99,0,0,0,0
0.5,5.431860905365467,0.505859375,506,3004,248,1098,74,479,3,29,0,0,0,0
0.5,13.500744809139963,0.53125,480,3252,144,680,60,390,9,98,1,17,0,0
0.5,7.787749087681453,0.4423828125,571,3814,169,758,62,408,18,153,0,0,0,0
0.5,5.1554227351672655,0.49609375,516,3032,288,1328,72,495,1,5,0,0,0,0
0.5,10.609602069697372,0.5,512,3408,167,790,67,433,12,99,0,0,0,0
0.5,6.631343014032383,0.4970703125,515,3220,236,1120,81,555,3,39,0,0,0,0
0.5,6.3658742594800195,0.4482421875,565,3528,259,1236,90,596,3,26,0,0,0,0
0.5,9.32152944481356,0.4560546875,557,3670,191,894,74,489,12,99,0,0,0,0
0.5,13.690048380829701,0.51171875,500,3560,116,590,60,391,17,148,0,0,0,0
0.5,8.510314610517028,0.4501953125,563,3782,188,906,65,453,15,121,0,0,0,0
0.5,12.913623141695002,0.544921875,466,3168,124,594,54,344,15,106,0,0,0,0
0.5,11.875433723160342,0.5078125,504,3480,144,694,60,407,15,125,0,0,0,0
0.5,12.206414085438723,0.5478515625,463,3150,133,618,46,322,12,110,1,16,0,0
0.5,14.918222027478686,0.458984375,554,3922,134,652,56,380,21,180,0,0,0,0
0.5,12.891912053086749,0.560546875,450,2932,135,576,53,316,13,100,0,0,0,0
0.5,11.727114667246557,0.5048828125,507,3484,141,624,46,317,15,134,1,10,0,0
0.5,5.119068913015241,0.490234375,522,3100,288,1338,78,537,0,0,0,0,0,0
0.5,14.941000688103454,0.5791015625,431,2884,137,606,46,314,13,124,0,0,0,0
0.5,12.171994906975165,0.5087890625,503,3508,146,720,55,391,16,149,0,0,0,0
0.5,14.52622626499758,0.4677734375,545,3730,149,686,56,370,19,161,0,0,0,0
0.5,12.034749792101334,0.4755859375,537,3664,177,870,68,484,13,109,0,0,0,0
0.5,14.673261906727214,0.5078125,504,3560,123,602,55,365,18,151,0,0,0,0
0.5,7.192254446043508,0.54296875,468,2888,219,1000,67,457,4,41,0,0,0,0
0.5,5.154263048014366,0.490234375,522,3148,261,1202,79,538,2,16,0,0,0,0
0.5,6.459614114614066,0.5126953125,499,3072,241,1134,74,515,3,27,0,0,0,0
0.5,12.991463487354817,0.5048828125,507,3584,129,620,54,369,14,137,1,19,0,0
0.5,7.696625779527304,0.5126953125,499,3218,199,906,64,458,9,79,0,0,0,0
0.5,14.352254947569737,0.5048828125,507,3508,138,636,55,358,13,123,1,18,0,0
0.5,8.597294858951853,0.5302734375,481,3144,196,908,59,425,9,101,0,0,0,0
0.5,10.372935418949734,0.61328125,396,2560,153,658,41,296,10,111,0,0,0,0
0.5,11.13626356233318,0.4462890625,567,3880,156,744,65,434,18,154,0,0,0,0
0.5,6.403159608731681,0.5,512,3234,224,1076,84,564,3,26,0,0,0,0
0.5,9.606632230376825,0.587890625,422,2666,143,600,53,308,10,82,0,0,0,0
0.5,7.019417136364114,0.470703125,542,3472,263,1310,85,613,2,24,0,0,0,0
0.5,14.674434383799117,0.7705078125,235,1386,91,350,28,148,5,37,0,0,0,0
