,,,,,0.155229957,,,,,,,,,,
Threshold,Resolution,Obstacle %,,3539.951662,549.5065458,291.0684794,92.93454179,15.4612286,,,,,,,
0.355643953,9.47768286,0.701171875,70.1171875,1984,594,278,48,0,0,0.299395161,29.93951613,0.140120968,0.024193548,0,0
0.214482465,9.883688356,0.897460938,89.74609375,620,258,85,10,0,0,0.416129032,41.61290323,0.137096774,0.016129032,0,0
0.453470263,14.10826427,0.760742188,76.07421875,1610,408,209,52,0,0,0.253416149,25.34161491,0.129813665,0.032298137,0,0
0.643101726,13.47297073,0.129882813,12.98828125,6692,454,302,168,65,0,0.0678422,6.784219964,0.045128512,0.025104603,0.00971309,0
0.357403675,8.431125371,0.78125,78.125,1270,576,206,0,0,0,0.453543307,45.35433071,0.162204724,0,0,0
0.397760407,9.174550648,0.744140625,74.4140625,1618,536,245,31,0,0,0.331273177,33.12731768,0.151421508,0.019159456,0,0
0.616197915,11.32869453,0.287109375,28.7109375,5244,626,413,170,26,0,0.119374523,11.93745233,0.078756674,0.032418002,0.004958047,0
0.248981929,14.179175,0.87109375,87.109375,880,268,132,17,0,0,0.304545455,30.45454545,0.15,0.019318182,0,0
0.653510344,14.61720712,0.102539063,10.25390625,6848,364,235,121,51,12,0.053154206,5.315420561,0.034316589,0.017669393,0.00744743,0.001752336
0.766015945,7.964257864,0.049804688,4.98046875,7250,530,340,163,71,0,0.073103448,7.310344828,0.046896552,0.022482759,0.009793103,0
0.779080019,10.53244573,0.036132813,3.61328125,7460,434,320,149,44,7,0.058176944,5.81769437,0.042895442,0.01997319,0.005898123,0.000938338
0.759866033,13.43380907,0.0703125,7.03125,7130,328,260,168,35,8,0.046002805,4.600280505,0.036465638,0.023562412,0.004908836,0.00112202
0.737512789,11.79550944,0.090820313,9.08203125,6906,366,226,117,50,7,0.052997394,5.299739357,0.032725167,0.01694179,0.007240081,0.001013611
0.682781726,12.87630178,0.208007813,20.80078125,5908,640,378,158,30,0,0.108327691,10.83276913,0.063981043,0.026743399,0.005077861,0
0.250448767,7.360049922,0.8984375,89.84375,536,292,74,0,0,0,0.544776119,54.47761194,0.138059701,0,0,0
0.604348403,13.51494506,0.309570313,30.95703125,5064,524,305,149,38,0,0.103475513,10.34755134,0.060229068,0.029423381,0.007503949,0
0.235515587,10.65150526,0.930664063,93.06640625,402,204,60,0,0,0,0.507462687,50.74626866,0.149253731,0,0,0
0.283976948,5.727372638,0.888671875,88.8671875,514,296,62,0,0,0,0.575875486,57.58754864,0.120622568,0,0,0
0.759035748,9.256267636,0.075195313,7.51953125,7032,570,394,206,53,0,0.08105802,8.105802048,0.056029579,0.029294653,0.007536974,0
0.562679177,10.50893479,0.384765625,38.4765625,4344,778,472,173,0,0,0.179097606,17.90976059,0.108655617,0.039825046,0,0
0.757886548,7.428407925,0.045898438,4.58984375,7290,448,340,184,73,0,0.061454047,6.145404664,0.046639232,0.025240055,0.010013717,0
0.607641732,6.239541148,0.288085938,28.80859375,4896,1224,705,122,0,0,0.25,25,0.143995098,0.024918301,0,0
0.477589831,13.54460983,0.573242188,57.32421875,2946,634,366,97,0,0,0.21520706,21.52070604,0.124236253,0.032926001,0,0
0.774602578,13.9878919,0.073242188,7.32421875,7098,286,181,105,67,14,0.04029304,4.029304029,0.025500141,0.014792899,0.009439279,0.001972387
0.333542388,7.214748964,0.87109375,87.109375,590,332,66,0,0,0,0.562711864,56.27118644,0.111864407,0,0,0
0.208981769,7.667877286,0.9296875,92.96875,296,154,29,0,0,0,0.52027027,52.02702703,0.097972973,0,0,0
0.342352948,13.03438797,0.873046875,87.3046875,746,296,133,0,0,0,0.396782842,39.67828418,0.178284182,0,0,0
0.361478905,13.89797611,0.877929688,87.79296875,828,188,106,32,0,0,0.22705314,22.70531401,0.128019324,0.038647343,0,0
0.223792864,5.08119594,0.969726563,96.97265625,104,36,10,0,0,0,0.346153846,34.61538462,0.096153846,0,0,0
0.651938194,12.6645749,0.18359375,18.359375,6154,396,272,159,35,16,0.064348391,6.434839129,0.044198895,0.025836854,0.005687358,0.002599935
0.502867656,12.22429434,0.3828125,38.28125,4496,758,425,185,12,0,0.168594306,16.8594306,0.09452847,0.041147687,0.002669039,0
0.780392643,10.59502724,0.010742188,1.07421875,7682,182,144,69,50,11,0.023691747,2.369174694,0.018745118,0.008982036,0.006508722,0.001431919
0.535575093,5.302086142,0.381835938,38.18359375,4012,1348,635,53,0,0,0.335992024,33.59920239,0.158275174,0.013210369,0,0
0.290410306,6.777640506,0.9140625,91.40625,422,260,47,0,0,0,0.616113744,61.61137441,0.111374408,0,0,0
0.663673797,6.480897403,0.161132813,16.11328125,6160,1088,687,185,37,0,0.176623377,17.66233766,0.111525974,0.030032468,0.006006494,0
0.652839433,8.782985829,0.239257813,23.92578125,5556,754,470,185,20,0,0.135709143,13.57091433,0.084593233,0.033297336,0.003599712,0
0.575965025,6.942724714,0.333984375,33.3984375,4580,1222,649,121,0,0,0.266812227,26.68122271,0.141703057,0.026419214,0,0
0.233222382,11.01728331,0.942382813,94.23828125,314,112,24,8,0,0,0.356687898,35.66878981,0.076433121,0.025477707,0,0
0.315471975,5.953980081,0.877929688,87.79296875,624,336,85,0,0,0,0.538461538,53.84615385,0.136217949,0,0,0
0.760935137,14.02152553,0.073242188,7.32421875,7116,236,155,79,34,13,0.033164699,3.316469927,0.0217819,0.011101743,0.004777965,0.001826869
0.327409003,9.661297424,0.915039063,91.50390625,468,190,77,0,0,0,0.405982906,40.5982906,0.164529915,0,0,0
0.368409512,6.88019129,0.805664063,80.56640625,1082,434,153,6,0,0,0.401109057,40.11090573,0.141404806,0.005545287,0,0
0.794586132,9.102564596,0.026367188,2.63671875,7500,312,200,121,65,7,0.0416,4.16,0.026666667,0.016133333,0.008666667,0.000933333
0.338826293,5.967200697,0.8359375,83.59375,886,422,137,0,0,0,0.476297968,47.62979684,0.15462754,0,0,0
0.716976517,11.46687936,0.139648438,13.96484375,6480,498,301,154,38,11,0.076851852,7.685185185,0.046450617,0.023765432,0.005864198,0.001697531
0.560296921,11.94693741,0.373046875,37.3046875,4486,678,390,187,11,0,0.15113687,15.11368703,0.086937138,0.041685243,0.002452073,0
0.260575475,12.51038758,0.98828125,98.828125,60,22,10,0,0,0,0.366666667,36.66666667,0.166666667,0,0,0
0.552011121,12.12039381,0.318359375,31.8359375,4958,430,265,141,27,0,0.08672852,8.672851956,0.053448971,0.028438887,0.005445744,0
0.747604621,5.675023097,0.09765625,9.765625,6698,738,417,220,37,0,0.110182144,11.01821439,0.06225739,0.032845626,0.005524037,0
0.237627989,7.936043317,0.956054688,95.60546875,234,92,39,0,0,0,0.393162393,39.31623932,0.166666667,0,0,0
0.403862636,14.80963249,0.901367188,90.13671875,570,224,71,13,0,0,0.392982456,39.29824561,0.124561404,0.022807018,0,0
0.518845401,7.185217863,0.463867188,46.38671875,3514,1138,545,54,0,0,0.323847467,32.38474673,0.15509391,0.015367103,0,0
0.581213979,13.6707387,0.412109375,41.2109375,4174,718,386,151,5,0,0.17201725,17.20172496,0.09247724,0.03617633,0.001197892,0
0.255165372,13.65363152,0.958007813,95.80078125,264,90,50,0,0,0,0.340909091,34.09090909,0.189393939,0,0,0
0.750406327,13.15532671,0.061523438,6.15234375,7212,344,234,137,48,7,0.047698281,4.769828064,0.032445923,0.018996118,0.006655574,0.000970605
0.723926414,11.71432218,0.013671875,1.3671875,7658,150,109,52,28,17,0.01958736,1.958735962,0.014233481,0.006790285,0.003656307,0.002219901
0.655447813,12.13455723,0.1171875,11.71875,6728,520,344,195,56,0,0.077288942,7.728894174,0.051129608,0.028983353,0.008323424,0
0.770919981,11.38530153,0.03125,3.125,7498,96,56,34,34,13,0.012803414,1.280341424,0.007468658,0.004534543,0.004534543,0.001733796
0.475109665,9.774914873,0.463867188,46.38671875,3728,856,455,148,0,0,0.229613734,22.96137339,0.122049356,0.039699571,0,0
0.397798565,11.46898733,0.698242188,69.82421875,2000,594,263,50,0,0,0.297,29.7,0.1315,0.025,0,0
0.357985204,8.463350866,0.750976563,75.09765625,1534,518,225,28,0,0,0.33767927,33.76792699,0.146675359,0.018252934,0,0
0.368178377,7.744239618,0.724609375,72.4609375,1692,630,302,0,0,0,0.372340426,37.23404255,0.178486998,0,0,0
0.696667109,12.13026404,0.0703125,7.03125,7174,444,301,215,66,0,0.061890159,6.189015891,0.041957067,0.029969334,0.009199888,0
0.217650587,6.127857669,0.936523438,93.65234375,240,190,9,0,0,0,0.791666667,79.16666667,0.0375,0,0,0
0.405200234,6.919705244,0.696289063,69.62890625,1780,702,261,24,0,0,0.394382022,39.43820225,0.146629213,0.013483146,0,0
0.348643241,8.219892956,0.78515625,78.515625,1252,496,188,10,0,0,0.396166134,39.61661342,0.150159744,0.00798722,0,0
0.26643098,13.02083436,0.821289063,82.12890625,1140,350,158,23,0,0,0.307017544,30.70175439,0.138596491,0.020175439,0,0
0.786802509,14.38861336,0.064453125,6.4453125,7162,274,146,88,43,15,0.03825747,3.825746998,0.020385367,0.012287071,0.00600391,0.002094387
0.352682717,12.58582775,0.767578125,76.7578125,1498,436,228,34,0,0,0.29105474,29.10547397,0.152202937,0.022696929,0,0
0.328906432,10.22470472,0.9453125,94.53125,346,154,62,0,0,0,0.445086705,44.50867052,0.179190751,0,0,0
0.504422487,14.68878252,0.520507813,52.05078125,3368,614,364,139,0,0,0.182304038,18.2304038,0.10807601,0.041270784,0,0
0.457886734,8.621972115,0.637695313,63.76953125,2368,720,338,41,0,0,0.304054054,30.40540541,0.142736486,0.017314189,0,0
0.435022264,14.25779029,0.775390625,77.5390625,1416,388,185,40,0,0,0.274011299,27.40112994,0.130649718,0.028248588,0,0
0.713769943,6.166259443,0.150390625,15.0390625,6178,904,557,201,31,0,0.146325672,14.63256717,0.090158627,0.032534801,0.005017805,0
0.427660012,10.71120429,0.575195313,57.51953125,2862,810,407,80,0,0,0.283018868,28.30188679,0.142208246,0.027952481,0,0
0.375253506,7.465756989,0.76953125,76.953125,1330,588,224,0,0,0,0.442105263,44.21052632,0.168421053,0,0,0
0.234373303,7.77610576,0.971679688,97.16796875,118,74,13,0,0,0,0.627118644,62.71186441,0.110169492,0,0,0
0.740658964,5.476918931,0.088867188,8.88671875,6792,854,535,233,46,0,0.12573616,12.57361602,0.07876914,0.034305065,0.006772674,0
0.741568187,6.558347912,0.065429688,6.54296875,7102,724,492,235,37,0,0.101943115,10.19431146,0.06927626,0.033089271,0.0052098,0
0.409212299,8.130459932,0.782226563,78.22265625,1318,504,167,33,0,0,0.382397572,38.23975721,0.126707132,0.025037936,0,0
0.553906934,10.22861283,0.4453125,44.53125,3834,768,411,147,0,0,0.200312989,20.0312989,0.107198748,0.038341158,0,0
0.618953983,5.758214917,0.23046875,23.046875,5420,1362,788,145,0,0,0.251291513,25.12915129,0.145387454,0.026752768,0,0
0.698779683,8.824846086,0.163085938,16.30859375,6162,642,403,180,46,0,0.104186952,10.41869523,0.065400844,0.029211295,0.007465109,0
0.402275012,13.15419794,0.66015625,66.015625,2382,456,219,89,12,0,0.191435768,19.14357683,0.091939547,0.03736356,0.005037783,0
0.549660265,7.636048311,0.372070313,37.20703125,4312,1064,514,115,12,0,0.246753247,24.67532468,0.119202226,0.026669759,0.002782931,0
0.692413127,13.40398095,0.036132813,3.61328125,7456,254,174,103,70,7,0.034066524,3.406652361,0.02333691,0.013814378,0.009388412,0.000938841
0.477104337,5.006309228,0.57421875,57.421875,2458,1090,364,17,0,0,0.443449959,44.34499593,0.148087876,0.006916192,0,0
